user_query
Хочу в горы, чтобы было дешево и можно с собакой
Нужен люксовый отдых на море, желательно в Европе, бюджет не ограничен
Интересует азиатская культура, мегаполисы и вкусная уличная еда
Тихое место в лесу для цифрового детокса, в пределах 1000 долларов
Семейный отдых с детьми, важны аквапарки и система всё включено
Место для серфинга с активной ночной жизнью, бюджет средний
Хочу увидеть северное сияние, жить в уютном домике, бюджет до 2000$
Исторические города с красивой архитектурой и музеями, не очень жарко
Гастрономический тур по небольшим городам, винодельни и фермерские рынки
Горнолыжный курорт с хорошими трассами для новичков и спа-комплексом
